Row;Previous Coordinates;Current Coordinates;Target Road;Detected Road;Result;City
168;"40.655161,22.95862";"40.655156,22.958442";Μεγ Αλεξάνδρου;Μεγάλου Αλεξάνδρου;PASS;Thessaloniki
169;"40.646008,22.930328";"40.646084,22.930182";Βερατίου;Βερατίου;PASS;Thessaloniki
170;"40.660843,22.949436";"40.660714,22.949488";Ευκλείδη;Ευκλείδη;PASS;Thessaloniki
171;"40.628091,22.951877";"40.627979,22.951779";Τσιμισκή;Ιωάννη Τσιμισκή;PASS;Thessaloniki
172;"40.647625,22.941028";"40.647623,22.941205";Σοφοκλέους;Σοφοκλέους;PASS;Thessaloniki
173;"40.634036,22.96283";"40.634034,22.963005";Ιωακείμ Γ';Ιωακείμ Γ';PASS;Thessaloniki
174;"40.655923,22.953427";"40.655822,22.953309";Κρήτης;Κρήτης;PASS;Thessaloniki
175;"40.654952,22.928917";"40.655052,22.928797";Θησέως;Θησέως;PASS;Thessaloniki
176;"40.6578,22.946151";"40.657935,22.946155";Ελπίδος;Ελπίδος;PASS;Thessaloniki
177;"40.64274,22.931342";"40.642851,22.931444";Αφροδίτης;Αφροδίτης;PASS;Thessaloniki
178;"40.644065,22.948378";"40.644129,22.948535";Παναγιώτης Αφαλής;Παναγιώτη Αφαλή;PASS;Thessaloniki
179;"40.64037,22.943875";"40.640295,22.944023";Στεγάνου Δραγούμη;Στεφάνου Δραγούμη;PASS;Thessaloniki
180;"40.652958,22.948874";"40.653036,22.948729";Κουντουριώτου;Κουντουριώτου;PASS;Thessaloniki
181;"40.637659,22.949813";"40.637771,22.949913";Κασσάνδρου;Κασσάνδρου;PASS;Thessaloniki
182;"40.645399,22.954723";"40.64538,22.954549";Νικ Πλαστήρα;Νικ. Πλαστήρα;PASS;Thessaloniki
183;"40.659745,22.949409";"40.659831,22.949272";Ευκλείδη;Ευκλείδη;PASS;Thessaloniki
184;"40.64264,22.959605";"40.642678,22.959772";Καπετάν Θεοδωράκη;Γιαλούρου;FAIL;Thessaloniki
185;"40.62197,22.960071";"40.621892,22.959925";Ιωαννίνων;Ιωαννίνων;PASS;Thessaloniki
186;"40.647798,22.940943";"40.647864,22.941098";Σοφοκλέους;Σοφοκλέους;PASS;Thessaloniki
187;"40.643643,22.924112";"40.643514,22.924062";Σαπφούς;UNKNOWN;FAIL;Thessaloniki
